UF;UNIDADE;UNIDADE_PADRAO_AEROPORTUARIO;CIDADE_APREENSAO;DATA;DROGA;QUANTIDADE;UNIDADE_MEDIDA;ORIGEM;lat;lon
SP;DPF/CAS/SP;VCP;CAMPINAS;06/08/2019;cocaina;;gramas;aeroporto;-23,00740051;-47,1344986
SP;SR/PF/SP;GRU;GUARULHOS;06/09/2019;cocaina;2851;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;06/10/2019;cocaina;2801;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;06/13/2019;cocaina;8752;gramas;aeroporto;-23,43555641;-46,47305679
BA;SR/PF/BA;SSA;SALVADOR;06/15/2019;cocaina;5990;gramas;aeroporto;-12,9086113;-38,32249832
SP;SR/PF/SP;GRU;GUARULHOS;06/15/2019;cocaina;26972;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;06/15/2019;cocaina;4317;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;06/15/2019;cocaina;110000;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;06/16/2019;cocaina;5021;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;06/16/2019;cocaina;3291;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;06/16/2019;cocaina;3030;gramas;aeroporto;-23,43555641;-46,47305679
RJ;SR/PF/RJ;GIG;RIO DE JANEIRO;06/17/2019;cocaina;1500;gramas;aeroporto;-22,80999947;-43,25055695
RJ;SR/PF/RJ;GIG;RIO DE JANEIRO;06/17/2019;cocaina;1500;gramas;aeroporto;-22,80999947;-43,25055695
SP;SR/PF/SP;GRU;GUARULHOS;06/17/2019;cocaina;2961;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;06/19/2019;cocaina;268,75;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;06/19/2019;cocaina;268,75;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;06/19/2019;cocaina;268,75;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;06/19/2019;cocaina;268,75;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;06/19/2019;cocaina;2082;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;06/19/2019;cocaina;4048;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;06/21/2019;cocaina;2008;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;06/21/2019;cocaina;6028;gramas;aeroporto;-23,43555641;-46,47305679
PR;DPF/FIG/PR;IGU;FOZ DO IGUACU;06/22/2019;ecstasy;2090;comprimidos;aeroporto;-25,60027885;-54,48500061
SP;SR/PF/SP;GRU;GUARULHOS;06/22/2019;cocaina;2091;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;06/22/2019;cocaina;2477;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;06/23/2019;cocaina;4961;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;06/23/2019;cocaina;2983;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;06/23/2019;cocaina;2966;gramas;aeroporto;-23,43555641;-46,47305679
ES;SR/PF/ES;VIX;VITORIA;06/24/2019;cocaina;;gramas;aeroporto;-20,25805664;-40,2863884
BA;SR/PF/BA;SSA;SALVADOR;06/25/2019;cocaina;4740;gramas;aeroporto;-12,9086113;-38,32249832
BA;SR/PF/BA;SSA;SALVADOR;06/25/2019;cocaina;4925;gramas;aeroporto;-12,9086113;-38,32249832
ES;SR/PF/ES;VIX;VITORIA;06/25/2019;maconha;19500;gramas;aeroporto;-20,25805664;-40,2863884
PE;SR/PF/PE;REC;RECIFE;06/25/2019;cocaina;35202;gramas;aeroporto;-8,126489639;-34,92359924
SP;SR/PF/SP;GRU;GUARULHOS;06/25/2019;cocaina;2977;gramas;aeroporto;-23,43555641;-46,47305679
DF;SR/PF/DF;BSB;BRASILIA;06/26/2019;cocaina;5224;gramas;aeroporto;-15,86916733;-47,92083359
PE;SR/PF/PE;REC;RECIFE;06/26/2019;cocaina;2679;gramas;aeroporto;-8,126489639;-34,92359924
RJ;SR/PF/RJ;GIG;RIO DE JANEIRO;06/27/2019;cocaina;4110;gramas;aeroporto;-22,80999947;-43,25055695
SP;SR/PF/SP;GRU;GUARULHOS;06/28/2019;cocaina;3016;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;06/28/2019;cocaina;431;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;06/28/2019;cocaina;1975;gramas;aeroporto;-23,43555641;-46,47305679
RS;SR/DPF/RS;POA;PORTO ALEGRE;06/29/2019;cocaina;2969;gramas;aeroporto;-29,99440002;-51,17139816
SP;SR/PF/SP;GRU;GUARULHOS;06/29/2019;cocaina;4475;gramas;aeroporto;-23,43555641;-46,47305679
RJ;SR/PF/RJ;GIG;RIO DE JANEIRO;06/30/2019;cocaina;4320;gramas;aeroporto;-22,80999947;-43,25055695
RJ;SR/PF/RJ;GIG;RIO DE JANEIRO;06/30/2019;cocaina;4100;gramas;aeroporto;-22,80999947;-43,25055695
SP;SR/PF/SP;GRU;GUARULHOS;06/30/2019;cocaina;2052;gramas;aeroporto;-23,43555641;-46,47305679
RJ;SR/PF/RJ;GIG;RIO DE JANEIRO;07/01/2019;cocaina;8105;gramas;aeroporto;-22,80999947;-43,25055695
SP;DPF/CAS/SP;VCP;CAMPINAS;07/03/2019;cocaina;600;gramas;aeroporto;-23,00740051;-47,1344986
SP;DPF/CAS/SP;VCP;CAMPINAS;07/03/2019;cocaina;600;gramas;aeroporto;-23,00740051;-47,1344986
DF;SR/PF/DF;BSB;BRASILIA;07/04/2019;cocaina;2152;gramas;aeroporto;-15,86916733;-47,92083359
DF;SR/PF/DF;BSB;BRASILIA;07/05/2019;maconha;1044;gramas;aeroporto;-15,86916733;-47,92083359
SP;SR/PF/SP;GRU;GUARULHOS;07/05/2019;cocaina;2500;gramas;aeroporto;-23,43555641;-46,47305679
BA;SR/PF/BA;SSA;SALVADOR;07/06/2019;cocaina;7175;gramas;aeroporto;-12,9086113;-38,32249832
BA;SR/PF/BA;SSA;SALVADOR;07/06/2019;cocaina;7200;gramas;aeroporto;-12,9086113;-38,32249832
SP;SR/PF/SP;GRU;GUARULHOS;07/06/2019;cocaina;2713;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;07/06/2019;cocaina;1700;gramas;aeroporto;-23,43555641;-46,47305679
MG;SR/PF/MG;CNF;BELO HORIZONTE;07/07/2019;cocaina;2750;gramas;aeroporto;-19,62444305;-43,9719429
MG;SR/PF/MG;CNF;BELO HORIZONTE;07/07/2019;cocaina;3045;gramas;aeroporto;-19,62444305;-43,9719429
SP;SR/PF/SP;GRU;GUARULHOS;07/07/2019;cocaina;4610;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;07/07/2019;cocaina;34000;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;07/07/2019;cocaina;2800;gramas;aeroporto;-23,43555641;-46,47305679
RJ;SR/PF/RJ;GIG;RIO DE JANEIRO;07/08/2019;cocaina;5625;gramas;aeroporto;-22,80999947;-43,25055695
BA;SR/PF/BA;SSA;SALVADOR;07/11/2019;cocaina;2160;gramas;aeroporto;-12,9086113;-38,32249832
SP;SR/PF/SP;GRU;GUARULHOS;07/11/2019;cocaina;3327;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;07/14/2019;cocaina;5210;gramas;aeroporto;-23,43555641;-46,47305679
SP;DPF/CAS/SP;VCP;CAMPINAS;07/16/2019;cocaina;47928;gramas;aeroporto;-23,00740051;-47,1344986
SP;SR/PF/SP;GRU;GUARULHOS;07/18/2019;cocaina;3935;gramas;aeroporto;-23,43555641;-46,47305679
SP;DPF/CAS/SP;VCP;CAMPINAS;07/18/2019;cocaina;4500;gramas;aeroporto;-23,00740051;-47,1344986
MS;SR/PF/MS;CGR;CAMPO GRANDE;07/21/2019;cocaina;1730;gramas;aeroporto;-20,46870041;-54,67250061
BA;SR/PF/BA;SSA;SALVADOR;07/23/2019;cocaina;8750;gramas;aeroporto;-12,9086113;-38,32249832
BA;SR/PF/BA;SSA;SALVADOR;07/23/2019;cocaina;8750;gramas;aeroporto;-12,9086113;-38,32249832
CE;SR/PF/CE;FOR;FORTALEZA;07/23/2019;cocaina;2670;gramas;aeroporto;-3,776279926;-38,5326004
DF;SR/PF/DF;BSB;BRASILIA;07/23/2019;cocaina;1044;gramas;aeroporto;-15,86916733;-47,92083359
SP;SR/PF/SP;GRU;GUARULHOS;07/25/2019;cocaina;33550;gramas;aeroporto;-23,43555641;-46,47305679
BA;SR/PF/BA;SSA;SALVADOR;07/26/2019;cocaina;7500;gramas;aeroporto;-12,9086113;-38,32249832
SP;SR/PF/SP;GRU;GUARULHOS;07/26/2019;cocaina;3516;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;07/26/2019;cocaina;5500;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;07/26/2019;cocaina;1056;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;07/27/2019;cocaina;2116;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;07/27/2019;cocaina;2116;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;07/27/2019;cocaina;7487;gramas;aeroporto;-23,43555641;-46,47305679
